country,sahoStatusEHA,dayNum,BXKLTDINVWDGDZS,BXTRFPWKRCDDT,CMMKTLCAPGDZS,DTODAODATGNZS,DTTDSDECTEXZS,EGEGYPRIMPPKD,EGELCACCSRUZS,ENATMPM25MCM3,FBCBKBRCHP5,ICREGDURS,ICTAXTOTLCPZS,IPJRNARTCSC,ISAIRPSGR,ITCELSETSP2,ITNETUSERZS,MSMILTOTLP1,MSMILXPNDGDZS,NEEXPGNFSZS,NEIMPGNFSZS,NVAGREMPLKD,NYGDPMKTPKDZG,NYGDPTOTLRTZS,NYGNPPCAPCD,SEPRMCMPTZS,SEXPDTOTLGDZS,SGGENPARLZS,SHDYNMORT,SHHIVINCDZS,SHSTASMSSZS,SIPOVDDAY,SIPOVGINI,SIPOVNAHC,SISPRPCAP,SLGDPPCAPEMKD,SLTLFCACTFMZS,SLTLFCACTZS,SMPOPREFG,SPPOPGROW,STINTRCPTXPZS,TGVALTOTLGDZS,TTPRIMRCHXDWD,UHC,allhouse,armedConflict,casesMD,christCountry,christPct,ciaAirports,ciaArea,ciaBirthRate,ciaBroadbandFixedSubs,ciaBudgetSurplusDeficit,ciaCarbDioxEmsCons,ciaChildUnder5Underwt,ciaCrudeOilExports,ciaCrudeOilImports,ciaCrudeOilProduction,ciaCrudeOilProvedReserves,ciaCurrentAcctBalance,ciaDeathRate,ciaDebtExternal,ciaEducationExpenditures,ciaElectyConsump,ciaElectyExports,ciaElectyFossilFuels,ciaElectyHydroPlants,ciaElectyImports,ciaElectyInstallGenCap,ciaElectyNukeFuels,ciaElectyOthRenew,ciaElectyProduction,ciaExports,ciaFields,ciaGDPPerCapitaPPP,ciaGDPRealGrowthRate,ciaGrossNationalSaving,ciaHivAidsDeaths,ciaImports,ciaIndustProdGrowthRate,ciaInfantMortalityRate,ciaInflationRateConsPrices,ciaInternetUsers,ciaLaborForce,ciaLifeExpectancyAtBirth,ciaMaternalMortalityRate,ciaMedianAge,ciaMerchantMarine,ciaMilitaryExpends,ciaNatGasConsum,ciaNatGasExpts,ciaNatGasImpts,ciaNatGasProd,ciaNatGasProvResvs,ciaNetMigrationRate,ciaObesityAdultPrevRate,ciaPeopleWithHivAids,ciaPhonesFixed,ciaPhonesMobile,ciaPopGrowRate,ciaPopulation,ciaPublicDebt,ciaRailways,ciaRefPetrolProdExports,ciaRefPetrolProdsImports,ciaRefdPetrolProdsConsump,ciaRefinedPetrolProductsProd,ciaReservesForeignExchangeGold,ciaRoadways,ciaTaxesOtherRevenues,ciaTotalFertilityRate,ciaUnemploymentRate,ciaUnemploymentYouth1524,ciaWaterways,colLeg_n2,comDis,creditChegxin,creditDBRS,creditDagong,creditFitch,creditJCR,creditMoodys,creditSP,creditScope,cumCasesLag1,cumCasesLag1P100KC,cumDeathsLag1,cumDeathsLag1P100KC,deathsMD,ebolaCasesDum,ebolaCasesN,ecoeff,ecoleg,effect,eiec,envMort,execnat,execrel,execrlc,exelec,firstCase,firstDeath,fraud,gdpPerCap,gdpPerCapLn,geoDiff,geoDiffXdayNum,govEffInd,govHlthSpd,hlthRisks,hlthWork,idaEligible,ihr01,ihr02,ihr03,ihr04,ihr05,ihr06,ihr07,ihr08,ihr09,ihr10,ihr11,ihr12,ihr13,ihrTotal,inflation,kidMort,legelec,legit,liec,matMort,medDocsN,medDocsPC,military,muslimCountry,muslimPct,nNeighbors,netMigration,netOilProd,newCases,newDeaths,nonComDis,oppmajh,oppmajs,percent1,poleff,polity,polleg,popDen,population,prepStatus,prtyin,regEff,regTypeFH_n,roadInj,seceff,secleg,sexHlth,sfi,soceff,socleg,state,subAbuse,svcCovInd,system,tempDiffS,tobCont,urbanPop,vacCov,yrcurnt,yrsoffc
Burundi,open,20,.0346893868762326,48328632,,14.78228853163409,9.710181705869987,7.72218437489304,3.43518375552102,38.8962679482295,3.22270804156733,5,41.2,21.12,,57.6156,2.66075,51050,1.76513100608552,9.131191568901574,32.72616867073746,183.8515384930983,1.84247667669986,11.2142533660784,280,59.3764190673828,5.07864999771118,36.3636363636364,56.5,.2,,,,,,1764.444626396421,103.3603591096848,79.1539993286133,78465,3.12896711408085,1.367914795759357,.0000354210286015,147.3396173,,1,war,0,1,91.5,7,27830,36.5,3935,-5.7,217000,27.2,0,0,0,0,-418000000,12.96,610900000,5.1,382700000,0,14,73,100000000,68000,0,14,304000000,279000000,,294,.1,-5.3,1800,1040000000,-2,3.31,-.6,298684,5012000,74.01000000000001,548,17.7,,1.8,0,0,0,0,0,.72,5.4,85000,20758,6644833,-.29,11865821,51.7,,0,1374,1500,0,97400000,12322,15.8,1.51,,2.9,,3/neither,107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,4,2,12,7,100.2,1,0,0,0,62,76,0,290,5.6698809,0,0,-1.4,24.7139275074005,48,,1,33,50,60,40,60,70,60,30,40,40,40,40,60,48,-.7,41.17,0,9,7,548,1084,1.001,0,0,2.8,3,10003,neither,0,0,22.9,0,0,73.91,3,-1,3,423.062,11890781,2,-999,1/Africa,0/notFree,34.7,2,2,39.3,21,3,2,1,7.19,42,0,6.324555320336759,12.6,13.4,9.050000000000001,3,12
Egypt,open,22,2.972725250361685,26781400000,14.58296912988745,.8477636984099707,16.09796713789645,3.51107011031528,100,86.99945205032721,6.64388915234769,12.5,44.4,13326.67,12959679.654,94.9717,57.2829,835500,1.1804530017153,17.49995302782632,25.7651767093174,5852.993628320841,5.557683887915928,6.91132839002778,2690,104.609298706055,,14.9328859060403,20.3,.09,60.7405279186915,3.8,31.5,32.5,5.06,42923.82689766264,30.95345625841184,46.4129981994629,258391,1.97628434808829,24.61085108774867,.0000329642207316,152.0270581,,0,war,.0000224709,0,5.1,83,1001450,27.2,6579762,-8.6,232700000,7,246500,64760,639000,4400000000,-8915000000,4.36,77470000000,,159700000000,1158000000,91,6,54000000,45120000,0,2,183500000000,87891000000,,2537.5,5.3,9,,115345000000,3.5,18.25,9.300000000000001,46644728,24113000,74.01000000000001,37,24.1,402,1.2,57710000000,212400000,7079000000,50860000000,2186000000000,-.34,32,26000,8885103,96657295,2.17,104124440,103,5085,47360,280200,878000,547500,35890000000,65050,17.9,3.23,7.86,29.6,3500,1/Britain,12,N/A,N/A,B-,B+,N/A,B2,B,N/A,1,.00097718847,0,0,0,0,0,2,0,5,6,73.26000000000001,1,3,0,0,16,39,1,2000,7.6009026,0,0,-.6,32.9952418804169,83,,0,93,90,80,80,73,100,80,100,93,60,90,60,80,83,14.4,17.94,0,5,6,37,44502,4.521,1,1,94.90000000000001,2,-190164,neither,0,0,27.7,,-999,96.91,2,-4,3,97.999,102334403,4,6,2/Muslim,0/notFree,9.699999999999999,0,2,,10,1,0,1,.36,68,0,6.164414002968976,21.4,42.7,.28,2,1
Mauritania,open,24,-11.62479930798491,64458913.6407564,,6.378526691763805,14.07120079761305,3.58604838368407,.6332271194228,47.4229917763898,10.9160002410617,6,67,20.32,386621,104.09,20.801,20850,2.81895547123998,39.99784887940567,53.03794628264189,1908.346208560557,5.931442088595532,16.1766720544854,1660,72.90972900390631,1.89546000957489,20.2614379084967,72.90000000000001,,,,,,,20831.71354712998,45.75370746465857,45.8839988708496,84901,2.7412802727648,.291008929085353,.0000704412794771,139.6664893,,0,none,0,0,.3,30,1030700,29,13222,-.8,2615000,19.2,5333,0,4000,20000000,-711000000,7.54,4150000000,1.9,1059000000,0,65,16,0,558000,0,20,1139000000,321000000,,1730.4,3.6,24.2,,318000000,1,52.05,2.2,798809,1437000,64.86,766,21,5,2.8,0,0,0,0,28320000000,-.74,12.7,5700,53742,4083199,2.02,4005475,96.59999999999999,728,0,17290,17000,0,875000000,12253,27.4,3.59,10.2,15.2,,2/France,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,3,3,8,6,87.61,0,0,0,0,45,64,0,1129,7.0290875,0,0,-.7,38.8010203838348,35,,1,33,60,80,20,47,40,20,27,33,20,20,20,40,35,2.3,51.38,0,8,7,766,821,1.865,1,1,99.09999999999999,3,25002,minCons,0,0,18.1,0,-999,81.94,3,-2,2,4.289,4649660,2,8,2/Muslim,0/notFree,24.7,0,1,30.4,16,2,2,,.036,41,0,6,,54.5,4.14,2,10
Mozambique,open,26,14.26135841394371,299567589.191752,,12.50686616389328,16.41888792804608,17.3105745223817,7.99328809374314,21.2986954591341,4.10223430885018,17,36.1,139.25,587364,47.7158,10,11200,.8951816268602499,41.01132225217229,75.53582895314082,435.1149185677517,2.28359720301215,15.7634015411652,490,54.7286911010742,5.49984979629517,41.2,74.2,8.94,,,,,,3048.111366341635,97.81786078935289,78.0970001220703,4713,2.90713743750143,5.539972557010684,.000079802774931,102.2973728,,1,none,0,1,56.7,98,799380,38.6,70142,-5.6,11120000,15.6,0,0,0,0,-3025000000,10.59,10910000000,5.5,11570000000,12880000000,16,83,9928000000,2626000,0,1,18390000000,3349000000,,498.9,3.4,16.8,51000,7371000000,4.9,63.03,2.7,2855670,12900000,56.49,289,17,29,,1841000000,4162000000,0,6003000000,2832000000000,-1.62,7.2,2200000,61575,13992090,2.58,30098197,102.1,4787,0,25130,26000,0,3361000000,31083,26.7,4.89,24.5,7.4,460,3/neither,361,N/A,N/A,N/A,CCC,N/A,Caa2,CCC+,N/A,0,0,0,0,0,0,0,3,2,5,7,64.22,1,0,3,0,53,117,0,426,6.0544395,0,0,-.9,29.8636168241501,60,,1,47,40,80,60,73,80,80,67,53,80,40,40,40,60,2.8,56.37,0,6,7,289,2473,.838,0,0,18,6,-25000,neither,0,0,18.4,0,-999,57.03,0,5,0,37.728,31255435,3,39,1/Africa,1/partFree,30.1,0,2,50.4,11,2,2,1,2.3,46,0,5.830951894845301,14.4,36.5,5.9,2,3
Comoros,open,27,.6741568997039023,135189373.28746,,7.305012020360689,3.10008683935656,4.6913729905816,76.9863474245396,20.5468245996681,3.67783696729435,16,219.6,3.28,,67.6022,8.47817,,,12.80956693038619,29.26610026425661,2901.799122384639,1.986109516578736,1.39008081079156,1400,76.7200775146484,2.5450599193573,6.06060606060606,62.9,.01,,,,,,12170.49852037028,73.24550127258424,43.2809982299805,,2.20587743735692,50.43511597404908,.0000234165937933,80.65635555,,,none,0,0,.5,4,2235,23.6,1531,-6.5,193600,16.9,0,0,0,0,-27000000,8.26,199800000,2.5,39060000,0,96,4,0,27000,0,0,42000000,161000000,,1400.5,3,17.3,,471000000,1,11.15,1,69635,278500,76.31,273,20.9,244,,0,0,0,0,0,-.43,7.8,,9840,563722,.26,846281,32.4,,0,1241,1300,0,208000000,880,25.3,1.6,6.5,19.5,,2/France,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,3,3,7,7,93.66,0,0,0,0,93,96,0,1329,7.1921821,0,0,-1.6,12.7480328083038,27,,1,27,20,60,60,27,40,20,33,0,40,10,20,0,27,-4.3,49.68,0,5,7,273,216,2.715,0,1,98.3,0,-10000,neither,0,0,22.9,0,-999,15.1,2,-3,0,437.352,869595,1,1,2/Muslim,1/partFree,26.5,0,0,,12,2,2,1,.69,52,0,5.744562646538029,19.5,29.2,8.26,4,1
Zambia,open,32,2.350807482853361,98259100,,3.828864547082202,31.26626585275726,7.34362541470335,10.9680004414348,27.438034758712,3.28643344145632,8.5,15.6,213.07,17505.6896363636,96.4144,14.3,16100,1.21103908630006,34.63616121205263,34.15488152731412,575.860371977264,1.441784548422191,19.1116707201319,1430,,4.61809015274048,17.9640718562874,61.7,6.03,,58.7,57.1,54.4,2.87,9454.902155457174,88.99034593453183,74.6149978637695,57518,2.89237292696711,7.432928574888285,.0000612275350559,174.7347222,,0,none,0,1,97.59999999999999,88,752618,40.4,43365,-7.3,3777000,11.8,0,12860,,0,-1006000000,9.27,11660000000,4.6,11040000000,1176000000,5,93,2185000000,2573000,0,2,11550000000,8216000000,,1572.3,4.1,38.3,17000,7852000000,4.7,26.82,9.1,2351646,6898000,65.04000000000001,213,16.9,,,0,0,0,0,0,-.12,8.1,1200000,91422,16322168,.95,17426623,63.1,3126,371,10150,23000,13120,2082000000,67671,17.4,2.2,15,24,2250,1/Britain,333,N/A,N/A,N/A,RD,N/A,B2,CCC,N/A,0,0,0,0,0,0,0,3,2,5,7,63.39,0,0,0,0,49,64,0,1513,7.3218498,0,0,-.6,38.6330097913742,60,,1,67,80,60,40,47,70,80,67,67,40,80,40,40,60,9.199999999999999,43.36,0,7,7,213,20591,11.867,0,0,.5,8,-40000,neither,0,0,17.9,0,-999,50.35,0,6,2,22.995,18383956,2,6,1/Africa,1/partFree,,0,2,,12,2,1,,6.54,53,0,5.291502622129181,14.7,44,11.34,3,2
Eritrea,open,38,,,,,,4.8289725556255,34.5870286550019,48.0301986806015,,84,83.7,21.37,101357.3758656,20.364,1.30891,201750,,,,,,,,60.2705116271973,,22,40.5,.15,,,,,,,83.60320150013644,78.38800048828131,199,,,,87.49763373,,1,twenty,0,1,62.9,13,117600,27.9,600,-9.800000000000001,597100,39.4,0,0,0,0,-137000000,6.79,792700000,,353900000,0,99,0,0,160700,0,1,415900000,624300000,,1985.4,4.2,5.5,,1127000000,5.4,42.39,9,78215,2710000,66.51000000000001,480,20.3,9,,0,0,0,0,0,-10.84,5,14000,116882,1226660,.98,6081196,131.2,306,0,3897,4000,0,236700000,16000,34.9,3.65,5.8,,,3/neither,86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,4,2,9,2,95.47,0,0,0,0,52,137,-999,1146,7.0440331,0,0,-1.7,27.2490590810776,49,,1,20,60,80,20,53,50,80,20,80,80,50,20,20,49,-16.37,31.32,0,6,2,480,212,.628,0,0,36.6,3,-199290,neither,0,0,23.9,0,0,-999,2,-7,0,44.304,3546427,2,24,1/Africa,0/notFree,25.3,0,3,,15,3,1,0,1.44,38,1,4.69041575982343,7.2,40.7,8.74,-999,24
Sudan,open,38,3.428431207682359,425214336,,2.971257678213615,4.922198802003373,3.95680675257557,47.0575068360152,55.3708344433937,3.36573919574596,34.5,45.4,397.77,530001,77.112,30.8703,124300,1.64795723277984,7.672523392037873,8.996003871486588,4464.620434524462,-2.503537272629473,22.0949293784341,590,61.6876411437988,,30.5164319248826,58.4,.13,,,,,,16245.35631307464,42.67489954095196,48.4389991760254,1055489,2.39143403307158,20.87792437291272,.0000431678403239,192.3030008,,-999,war,0,0,5.4,67,1861484,33.8,31352,-10.6,16030000,33.1,19540,9440,95000,5000000000,-4811000000,6.5,56050000000,,12120000000,0,44,51,0,3437000,0,6,13990000000,4100000000,,1208.4,-2.3,12.1,2300,8220000000,4.5,41.8,50.2,13311404,11920000,66.5,295,18.3,15,1.6,0,0,0,0,84950000000,-.4,6.6,46000,141922,34198859,2.69,45561556,121.6,7251,8541,24340,112000,94830,198000000,31000,18.5,4.72,19.6,,4068,1/Britain,67,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,3,3,10,6,105,0,0,0,0,44,45,-999,2967,7.9953065,0,0,-1.6,18.0079370737076,57,,1,40,90,80,80,40,80,60,40,33,60,60,40,40,57,51,42.02,0,11,6,295,10683,2.618,1,1,90.7,7,-250001,neither,0,0,26,0,-999,94.05,3,-4,3,23.258,43849269,3,28,2/Muslim,0/notFree,25.7,2,3,,21,2,2,0,.51,44,0,4.69041575982343,,34.9,2.71,-999,28
Nigeria,open,39,.7362051070425688,23809281401.0144,9.80129384233952,.8714198219618696,7.09381362850324,5.67956070545213,30.9508458743352,71.79817437533259,4.30191345199514,7.2,34.8,5602.28,6539048.35309011,88.1842,42,223000,.460792414766158,14.22092679124426,19.80295104046654,6154.488794964811,2.208429277158203,11.4838700752278,2030,,,3.38028169014084,117.2,.78,26.6546207082104,39.1,35.1,40.1,,18755.83312078522,82.71620155153208,52.9070014953613,54157,2.5648418857943,2.993694676487629,.000026284898526,168.4183097,,1,war,.000013415076,0,49.3,54,923768,34.6,73965,-1.8,104000000,21.8,2096000,0,1989000,37450000000,10380000000,5.16,40960000000,,24720000000,0,80,19,0,10520000,0,0,29350000000,1146000000,,2153.5,1.9,18.2,45000,32670000000,2.2,19.57,11.3,85450052,60080000,74.51000000000001,917,18.6,728,,17240000000,27210000000,0,44480000000,5475000000000,-2.27,8.9,1800000,146075,184013243,.9300000000000001,214028302,21.8,3798,2332,223400,325000,35010,38770000000,195000,3.4,1.81,16.5,13.8,8600,1/Britain,219,N/A,N/A,BB+,B-,N/A,B2,B-,N/A,1,.00048510818,0,0,0,1,20,3,3,9,7,158.6,0,0,3,0,29,54,1,1968,7.5847731,0,0,-1,14.1832575201988,51,,1,53,100,60,40,47,70,60,47,33,20,50,20,60,51,11.4,75.74,0,9,7,917,74543,3.806,0,0,48.8,4,-300000,prod,0,0,22.5,0,0,53.96,2,7,1,209.588,206139587,3,2,1/Africa,1/partFree,21.4,2,3,26.3,18,2,2,2,10.84,42,0,4.58257569495584,4.8,51.2,2.43,2,2
Congo,open,40,27.43928774100536,7704784.23041959,,1.25643493229333,6.46420990691189,4.01614200972051,20.1895811049718,46.6382202758892,4.04440895850066,49.5,54.3,66.68000000000001,541787.136860717,95.34050000000001,8.65,12000,2.66289875872558,69.08843007401636,53.1609994991374,1049.601967781568,-3.544130305841549,54.9163561158019,1720,,3.51104998588562,11.2582781456954,47.8,2.5,,,,,,9993.375849099639,94.58792391593228,69.447998046875,25668,2.5629008034182,.9333393933463617,.0000838972120318,188.8520534,,0,twenty,0,1,88.5,27,342000,32.6,,-7,5239000,12.3,254100,0,340000,1600000000,-1128000000,12.01,4605000000,3.5,912000000,22000000,64,36,18000000,591500,0,0,1696000000,4193000000,,2702.6,1,19.5,4500,2501000000,-3,84.22,2.2,437865,2055000,55.07,378,19.5,11,2.7,1387000000,0,0,1387000000,90610000000,-3.28,9.6,100000,17076,4933529,1.79,5293070,130.8,510,5766,7162,17000,15760,505700000,23324,22.5,4.09,36,,1120,3/neither,373,N/A,N/A,N/A,N/A,N/A,Caa1,B-,N/A,0,0,0,0,0,0,0,2,2,5,7,72.8,0,0,3,0,46,62,0,2146,7.671361,0,0,-1.2,40.7357543706894,33,,1,33,60,20,40,20,50,60,20,20,40,20,20,20,33,2.2,35.73,1,8,7,378,723,1.645,1,0,1.2,5,-20000,prod,0,0,16.7,0,0,60.19,2,-4,2,15.405,5518092,3,20,1/Africa,0/notFree,27.4,0,2,38.5,13,1,2,1,9.27,39,0,4.47213595499958,16.1,67.40000000000001,2.26,6,20
DemRepCongo,open,43,2.68050441477657,2076317927.82742,,5.509979408236636,8.392294712505089,20.937,,44.9092635986842,1.02909513498086,7,50.7,148.72,550457.892628576,42.7733,8.6199,134250,.6738169002465371,30.10525162534805,33.06858917745799,333.7475912764607,4.384528881038818,25.5192509489693,530,69.9111709594727,1.45494997501373,10,84.8,.31,,,,,,3345.659886639785,91.64063124283092,63.4620018005371,523733,3.18708630238904,.3762053061653478,.0000257932689246,132.3246801,,-999,war,.00034293553,1,95.8,198,2344858,41,4620,-.9,3146000,23.4,20000,0,17000,180000000,-200000000,8.550000000000001,4963000000,1.5,7430000000,422000000,2,98,20000000,2587000,0,0,9046000000,21160000000,,560.8,5.8,11.5,15000,19500000000,1.6,49.28,41.5,8231357,20692000,61.69,473,16.7,21,,0,0,0,0,991100000,0,6.7,520000,0,42166976,2.36,101780263,18.1,4007,0,21140,21000,0,457500000,152373,11.2,4.41,,8.699999999999999,15000,3/neither,320,N/A,N/A,CCC,CCC,N/A,Caa1,CCC+,N/A,2,.0022331048,0,0,0,1,3639,4,3,13,7,100.7,0,0,0,0,41,52,0,462,6.1355648,11.111111,477.77777,-1.6,9.949006885290149,35,,1,27,60,60,20,40,40,60,33,27,20,30,20,20,35,2.9,67.89,0,11,7,473,5832,.74,1,0,1.5,9,119303,neither,0,0,19.4,0,0,45.95,3,-3,3,35.879,89561404,3,-999,1/Africa,0/notFree,33.7,3,3,,24,3,2,,2,41,0,4.123105625617661,,4.6,5.14,0,17
Somalia,open,44,,,,,.0542342990654206,,14.6366178165838,32.0345842282344,,70,,9.74,34065.5568461863,48.7964,2.00405,19800,,22.66873739289332,111.3208526529756,,,,,,,24.3636363636364,117,.04,,,,,,,29.55440698326424,47.3979988098145,17882,2.85560211622181,,,98.65087474000001,,-999,war,0,0,.1,52,637657,38.7,92000,-.1,852500,23,0,0,0,0,-464000000,11.82,5300000000,,315300000,0,93,0,0,85000,0,7,339000000,819000000,,99.59999999999999,3.1,,,94430000000,3.5,88.03,1.5,225181,4154000,55.32,829,18.5,4,,0,0,0,0,5663000000,-2.98,8.300000000000001,11000,74800,5612338,2.35,11757124,76.7,,0,5590,5600,0,30450000,15000,2.1,5.41,,,,1/Britain,258,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,3,3,10,2,152,0,0,0,1,47,71,-999,104,4.6443911,0,0,-2.2,,,,1,,,,,,,,,,,,,,,3.5,75.90000000000001,0,10,1,829,309,.23,0,1,99.8,3,-200002,neither,0,0,21.8,0,-999,-999,1,5,1,23.5,15893219,2,5,2/Muslim,0/notFree,27.1,3,3,,20,3,3,-999,.009,25,0,4,,45.5,2.85,,5
Botswana,open,47,1.422688625053449,50097077.953,,.4828739717987269,3.17329627634523,3.35102805516129,27.8826111458015,23.094386181065,9.2918217828582,48,25.1,280.57,299351.994,173.811,47,9000,2.77020292125919,33.58767708715632,40.52308192815995,1696.715283290024,2.966125647812334,1.21788884624381,7650,,,10.7692307692308,41.6,8.23,,14.5,53.3,,7.97,46299.25036737684,85.01521205852663,70.81999969482421,1113,2.1752909092404,7.836655577571904,.0000643221954819,83.91428997,,1,none,0,1,72.09999999999999,74,581730,20.9,40044,-1,6235000,,0,0,0,0,2146000000,9.199999999999999,2187000000,,3636000000,0,100,0,1673000000,735000,0,0,2527000000,5934000000,,8258.200000000001,4.5,40.3,5000,5005000000,-4.2,26.8,2.7,1057079,1177000,64.8,144,25.7,,2.8,0,0,0,0,0,2.9,18.9,380000,139735,3968526,1.48,2317233,14,888,0,21090,21000,0,7491000000,31747,30.5,2.45,20,36,,1/Britain,253,N/A,N/A,A,N/A,N/A,A2,BBB+,N/A,0,0,0,0,0,0,0,1,0,1,6,52.99,0,0,1,0,62,63,0,7595,8.9352455,0,0,.3,75.6595969200134,30,,0,40,20,20,40,67,40,20,20,47,20,0,20,40,30,2.8,32.3,0,2,7,144,1138,5.269,0,0,.4,4,14999,minCons,0,0,20.3,0,-999,-999,0,8,1,4.044,2351625,2,51,1/Africa,2/free,23.8,0,0,,3,0,1,1,6.59,61,2,3.605551275463989,23.7,70.2,6.78,2,9
Seychelles,open,52,13.83586399299936,23648219.3078321,66.72234445659656,1.147674551837754,,2.64140299488298,100,20.1786493605547,51.4264061062091,32,30.1,9.529999999999999,414088,198.152,58.7698,420,1.33229195732995,80.32045941969163,91.93907734534975,,5.312514161256289,.0943515560800697,16900,98.8000030517578,4.42102003097534,21.2121212121212,14.2,,,,,,,,,,,.887925293341637,36.40423070761616,.0000989205398925,85.63748863000001,,,,.034482758,1,94,14,455,12.8,19696,-.5,1150000,3.6,0,0,0,0,-307000000,9.390000000000001,2559000000,4.4,325500000,0,91,0,0,88000,0,9,350000000,564800000,,16377.9,7.9,8.1,,1155000000,2.3,2.45,1.8,55616,51000,82.59999999999999,,36.8,26,1.3,0,0,0,0,0,4.87,14,,19627,188879,.74,95981,63.6,,0,7225,7300,0,545200000,526,39.6,1.86,3,11.6,,1/Britain,16,N/A,N/A,N/A,B,N/A,N/A,N/A,N/A,7,7.1181617,0,0,0,0,0,,,,,56.42,,,,,45,137,,15692,9.6609058,0,0,.5,73.04444313049321,53,,0,80,40,80,80,80,80,20,27,60,60,40,20,20,53,1.8,12.5,,,,53,203,21.212,,0,1.1,0,-1000,,0,0,21.2,,,,,,,208.354,98340,3,,0/neither,1/partFree,15.9,,,,,,,,20.5,71,,2.82842712474619,21.1,57.1,.19,,
Namibia,open,55,-.3286278038919127,60700614.7135818,21.09735202410048,1.150503488066059,,3.26071850470963,35.5208634629373,25.3587653984573,11.1824060090184,54,20.7,156.31,212578,113.165,51,15900,3.02832946632461,35.81001687692678,47.6655441789266,4815.948227593189,-1.134096127362056,4.65623116526477,5060,94.0862197875977,,42.7083333333333,42.4,5.34,,13.8,59.1,17.4,11.02,32180.82595786101,88.56484117846679,59.5340003967285,3182,1.87248088130699,9.862204341692353,.0001022841636302,131.3645267,,1,none,.0029296875,1,97.5,112,824292,25.7,61968,-5.5,3958000,13.2,0,0,0,0,-216000000,7.3,7969000000,3.1,3891000000,88000000,28,64,3073000000,535500,0,8,1403000000,6087000000,,5930.1,-.1,16.7,3000,9921000000,-.4,31.4,3.7,1291944,956800,65.3,195,21.8,14,3,0,0,0,0,62290000000,0,17.2,210000,144575,2921697,1.86,2630073,41.3,2628,80,26270,27000,0,2432000000,48875,32.2,3.07,34,38,,3/neither,486,N/A,N/A,N/A,BB,N/A,Ba3,N/A,N/A,3,.11806766,0,0,0,0,0,1,0,2,6,74.79000000000001,1,0,3,0,45,137,0,5227,8.5615931,0,0,.1,46.1430639028549,59,,0,60,60,80,60,80,80,60,33,73,40,60,40,40,59,3.7,31.16,0,3,6,195,1024,4.182,0,0,.3,4,-24030,minCons,0,0,21.3,0,0,86.73,0,6,1,3.078,2540916,2,27,1/Africa,2/free,30.4,0,0,,5,1,2,,5.43,62,0,2.23606797749979,17.9,51,6.97,2,3
Ghana,open,56,3.461741105667206,3520561664,,1.660566472317982,7.290878843487011,3.74524032187346,67.3491637385204,34.713514102152,8.543351560585551,13,55.4,1275.99,597343,134.319,39,15500,.4419360778819511,35.97678234632464,35.40140847012138,3364.755152241442,6.478394805358988,14.0791263304777,2220,93.8091125488281,3.98943996429443,13.0909090909091,46.2,1.1,,13,43.5,23.4,6.64,13322.93408716185,88.50760546358512,67.79799652099609,11946,2.16257788677108,4.423765369745364,.0000434120966067,190.2605046,,1,twenty,.013393985,1,74.90000000000001,10,238533,29.6,62320,-6,13670000,12.6,104000,6220,173000,660000000,-2131000000,6.3,22140000000,4,9363000000,187000000,58,42,511000000,3801000,0,1,12520000000,13840000000,,2201.6,6.3,9,14000,12650000000,16.7,33.33,8.4,10959964,12490000,69.01000000000001,308,21.4,50,,1232000000,0,317400000,914400000,22650000000,-.17,10.9,340000,272801,38571189,2.26,29340248,71.8,947,2654,85110,90000,2073,7555000000,109515,20.3,3.71,11.9,9.1,1293,1/Britain,144,N/A,N/A,B-,B,N/A,B3,B,N/A,53,.17056639,2,.0064364676,.00050543342,0,0,3,2,6,7,101.5,0,0,1,0,43,52,0,1056,6.9622436,33.333332,1866.6666,-.2,33.4704041481018,49,,1,33,60,60,40,53,80,20,33,40,80,40,40,60,49,7.2,34.96,0,5,7,308,3957,1.359,0,0,15.8,3,-50000,prod,15,1,20.8,0,-999,53.85,1,8,1,126.719,31072945,3,9,1/Africa,2/free,24.9,0,1,46.2,11,2,1,1,2.75,47,,2,3.7,56.7,5.54,3,1
